   FD,        Raw (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   FD,        CPU (MHr),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   FD,    Sim-CPU (MHr),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   FD,       Reco (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
   FD,        Sim (PB),      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
Analysis,  Total-CPU (MHr),      3.7,     12.6,     15.1,     20.2,     23.9,     31.5,     35.1,     30.1
Total,     Events (Million),     10.9,     19.9,      7.4,      8.5,     30.0,     53.5,     30.0,      0.0
Total,       Test (PB),      0.2,      0.6,      1.0,      0.7,      2.5,      2.5,      1.3,      1.3
Total, Sim Events (M),      2.5,     10.0,     20.0,     40.0,     30.0,     30.0,     30.0,     30.0
Total,        Raw (PB),      0.8,      1.4,      0.6,      0.7,      2.5,      4.1,      2.5,      0.0
Total,    Sim-CPU (MHr),      1.9,      7.5,      8.7,     14.2,     16.2,     16.2,     16.2,     16.2
Total,       Reco (PB),      0.4,      1.1,      1.3,      1.2,      1.4,      2.9,      3.5,      2.6
Total,        Sim (PB),      0.6,      2.2,      2.7,      4.6,      4.9,      4.9,      4.9,      4.9
Total,  Total-CPU (MHr),      7.4,     25.3,     30.1,     40.4,     47.7,     63.1,     70.2,     60.2
Total,      Cores (2020 Vintage Cores),   1204.2,   4120.8,   4914.5,   6594.2,   7779.4,  10285.8,  11454.8,   9823.7
Total,     SPEC06 (kSPEC06),     13.2,     45.3,     54.1,     72.5,     85.6,    113.1,    126.0,    108.1
Total,       WALL (MWallHr),     10.5,     36.1,     43.1,     57.8,     68.1,     90.1,    100.3,     86.1
Tape Copies,        Raw (PB),      1.5,      2.8,      1.1,      1.4,      5.0,      8.3,      5.0,      0.0
Disk Copies,        Raw (PB),      0.8,      1.4,      0.6,      0.7,      2.5,      4.1,      2.5,      0.0
Cumulative Disk,        Raw (PB),      0.8,      1.4,      0.6,      0.7,      2.5,      4.1,      2.5,      0.0
Cumulative Tape,        Raw (PB),      1.5,      4.4,      5.5,      6.8,     11.8,     20.1,     25.1,     25.1
Tape Copies,       Test (PB),      0.2,      0.6,      1.0,      0.7,      2.5,      2.5,      1.3,      1.3
Disk Copies,       Test (PB),      0.1,      0.3,      0.5,      0.4,      1.3,      1.3,      0.7,      0.7
Cumulative Disk,       Test (PB),      0.0,      0.2,      0.2,      0.2,      0.6,      0.6,      0.3,      0.3
